id,routine_id,bounce_index,skill_name,start_frame,end_frame,start_time,end_time,apex_time,apex_frame,start_height,end_height,apex_height
201,16,7,Half Twist Jump,320,356,10.67,11.87,9.87,296,205,204,278
202,16,8,Pike Jump,356,395,11.87,13.17,11.17,335,204,207,275
203,16,9,Back Drop,395,432,13.17,14.4,12.47,374,207,192,284
204,17,0,In/Out Bounce,130,167,4.33,5.57,3.73,112,208,203,246
205,17,1,Full Twist Jump,167,205,5.57,6.83,4.9,147,203,206,260
206,17,2,Straddle Jump,205,249,6.83,8.3,6.13,184,206,202,285
207,17,3,Half Twist to Seat Drop,249,286,8.3,9.53,7.5,225,202,201,293
208,17,4,Swivel Hips/Seat Half Twist to Seat Drop,286,329,9.53,10.97,8.87,266,201,195,290
209,17,5,To Feet (from seat),329,369,10.97,12.3,10.33,310,195,207,268
210,17,6,Tuck Jump,369,405,12.3,13.5,11.7,351,207,203,243
211,17,7,Half Twist Jump,405,444,13.5,14.8,12.83,385,203,204,266
212,17,8,Pike Jump,444,483,14.8,16.1,14.07,422,204,205,281
213,17,9,Back Drop,483,533,16.1,17.77,15.43,463,205,195,289
214,18,0,In/Out Bounce,66,96,2.2,3.2,1.67,50,226,228,285
215,18,1,In/Out Bounce,96,150,3.2,5.0,2.77,83,228,208,299
216,18,2,In/Out Bounce,150,182,5.0,6.07,4.6,138,208,227,288
217,18,3,In/Out Bounce,182,216,6.07,7.2,5.5,165,227,229,296
218,18,4,Front Drop,216,258,7.2,8.6,6.57,197,229,197,329
219,18,5,Broken,258,315,8.6,10.5,7.7,231,197,230,298
220,18,6,Seat Drop,315,358,10.5,11.93,9.9,297,230,204,283
221,18,7,Half Twist to Feet (from seat),358,389,11.93,12.97,11.03,331,204,219,295
222,18,8,Pike Jump,389,423,12.97,14.1,12.6,378,219,216,287
223,18,9,Tuck Jump,423,458,14.1,15.27,13.53,406,216,221,285
224,18,10,Full Twist Jump,458,492,15.27,16.4,14.83,445,221,219,306
225,18,11,In/Out Bounce,492,526,16.4,17.53,15.8,474,219,225,287
226,18,12,Seat Drop,526,559,17.53,18.63,16.87,506,225,205,308
227,18,13,Half Twist to Feet (from seat),559,597,18.63,19.9,18.1,543,205,218,283
228,18,14,In/Out Bounce,597,627,19.9,20.9,19.3,579,218,221,261
229,19,0,Broken,26,160,0.87,5.33,1.37,41,212,195,264
230,19,1,Broken,160,222,5.33,7.4,6.73,202,195,208,272
231,19,2,Seat Drop,222,255,7.4,8.5,7.97,239,208,195,259
232,19,3,Swivel Hips/Seat Half Twist to Seat Drop,255,299,8.5,9.97,9.17,275,195,196,232
233,19,4,Broken,299,357,9.97,11.9,11.3,339,196,210,258
234,19,5,Half Twist Jump,357,388,11.9,12.93,12.43,373,210,213,274
235,19,6,Tuck Jump,388,424,12.93,14.13,13.5,405,213,207,270
236,19,7,Full Twist Jump,424,458,14.13,15.27,14.67,440,207,206,253
237,19,8,In/Out Bounce,458,492,15.27,16.4,15.73,472,206,209,243
238,20,0,In/Out Bounce,11,31,0.37,1.03,0.6,18,293,213,436
239,20,1,In/Out Bounce,31,67,1.03,2.23,1.53,46,213,210,268
240,20,2,In/Out Bounce,67,105,2.23,3.5,2.93,88,210,211,279
241,20,3,In/Out Bounce,105,144,3.5,4.8,4.2,126,211,210,282
242,20,4,In/Out Bounce,144,184,4.8,6.13,5.4,162,210,210,283
243,20,5,Full Twist Jump,184,222,6.13,7.4,6.73,202,210,210,284
244,20,6,Straddle Jump,222,263,7.4,8.77,8.07,242,210,217,301
245,20,7,Half Twist to Seat Drop,263,301,8.77,10.03,9.43,283,217,198,283
246,20,8,Swivel Hips/Seat Half Twist to Seat Drop,301,343,10.03,11.43,10.87,326,198,204,270
