id,judgement_id,contributor_id,bounce_id,deduction_value,deduction_json
383,41,2,,0.2,
384,41,2,,0.3,
385,42,3,,0.3,
386,42,3,,0.5,
387,42,3,,0.0,
388,42,3,,0.3,
389,42,3,,0.3,
390,42,3,,0.3,
396,43,2,243,0.2,
397,43,2,244,0.2,
398,43,2,245,0.2,
399,43,2,246,0.2,
400,43,2,247,0.1,
401,43,2,248,0.2,
402,43,2,249,0.2,
403,43,2,250,0.2,
404,43,2,251,0.2,
405,43,2,252,0.2,
406,44,3,243,0.2,
407,44,3,244,0.2,
408,44,3,245,0.2,
409,44,3,246,0.1,
410,44,3,247,0.1,
411,44,3,248,0.2,
412,44,3,249,0.1,
413,44,3,250,0.1,
414,44,3,251,0.2,
415,44,3,252,0.3,
416,45,2,,0.3,
417,45,2,,0.3,
418,45,2,,0.4,
419,45,2,,0.4,
420,45,2,,0.3,
421,45,2,,0.3,
422,45,2,,0.3,
423,45,2,,0.3,
424,45,2,,0.4,
425,45,2,,0.3,
426,46,3,,0.4,
427,46,3,,0.3,
428,46,3,,0.4,
429,46,3,,0.4,
430,46,3,,0.4,
431,46,3,,0.5,
432,46,3,,0.4,
433,46,3,,0.4,
434,46,3,,0.3,
435,46,3,,0.3,
436,47,2,269,0.2,
437,47,2,270,0.3,
438,47,2,271,0.4,
439,47,2,272,0.4,
440,47,2,273,0.3,
441,47,2,274,0.2,
442,47,2,275,0.3,
443,47,2,276,0.3,
444,47,2,277,0.3,
445,48,3,269,0.3,
446,48,3,270,0.3,
447,48,3,271,0.4,
448,48,3,272,0.3,
449,48,3,273,0.3,
450,48,3,274,0.3,
451,48,3,275,0.3,
452,48,3,276,0.4,
453,48,3,277,0.4,
454,49,2,283,0.3,
455,49,2,284,0.4,
456,49,2,285,0.2,
457,49,2,286,0.2,
458,49,2,287,0.3,
459,49,2,288,0.2,
460,49,2,289,0.4,
461,49,2,290,0.2,
462,49,2,291,0.3,
463,49,2,292,0.3,
464,50,3,283,0.2,
465,50,3,284,0.5,
466,50,3,285,0.1,
467,50,3,286,0.2,
468,50,3,287,0.3,
469,50,3,288,0.2,
470,50,3,289,0.4,
471,50,3,290,0.1,
472,50,3,291,0.1,
473,50,3,292,0.3,
474,51,2,,0.2,
475,51,2,,0.1,
476,51,2,,0.2,
477,51,2,,0.2,
478,51,2,,0.2,
479,51,2,,0.2,
480,52,3,,0.1,
481,52,3,,0.1,
482,52,3,,0.2,
483,52,3,,0.2,
484,52,3,,0.2,
485,52,3,,0.1,
486,53,2,,0.2,
487,53,2,,0.3,
488,53,2,,0.3,
489,53,2,,0.4,
490,53,2,,0.3,
491,53,2,,0.2,
492,53,2,,0.2,
493,53,2,,0.2,
494,53,2,,0.3,
495,54,3,,0.3,
496,54,3,,0.4,
497,54,3,,0.3,
498,54,3,,0.3,
499,54,3,,0.3,
500,54,3,,0.0,
501,54,3,,0.2,
502,54,3,,0.2,
503,54,3,,0.3,
504,55,3,,0.3,
505,55,3,,0.4,
506,55,3,,0.3,
507,55,3,,0.3,
508,55,3,,0.3,
509,55,3,,0.4,
510,55,3,,0.2,
511,55,3,,0.2,
512,55,3,,0.3,
513,56,2,,0.3,
514,56,2,,0.1,
515,56,2,,0.1,
516,56,2,,0.2,
517,56,2,,0.1,
518,56,2,,0.1,
519,56,2,,0.1,
520,56,2,,0.2,
521,56,2,,0.2,
522,56,2,,0.2,
523,57,3,,0.3,
524,57,3,,0.2,
525,57,3,,0.0,
526,57,3,,0.1,
527,57,3,,0.1,
528,57,3,,0.1,
529,57,3,,0.1,
530,57,3,,0.2,
531,57,3,,0.2,
532,57,3,,0.1,
533,58,2,331,0.3,
534,58,2,332,0.4,
535,58,2,333,0.4,
536,58,2,334,0.3,
537,58,2,335,0.4,
538,58,2,336,0.2,
539,58,2,337,0.3,
540,58,2,338,0.2,
541,58,2,339,0.2,
542,58,2,340,0.2,
543,59,3,331,0.3,
544,59,3,332,0.5,
545,59,3,333,0.4,
546,59,3,334,0.4,
547,59,3,335,0.3,
548,59,3,336,0.2,
549,59,3,337,0.4,
550,59,3,338,0.3,
551,59,3,339,0.3,
552,59,3,340,0.3,
553,60,2,342,0.5,
554,60,2,344,0.3,
555,60,2,345,0.3,
556,60,2,346,0.3,
557,60,2,347,0.3,
558,60,2,348,0.3,
559,60,2,349,0.4,
560,61,3,342,0.3,
561,61,3,344,0.3,
562,61,3,345,0.3,
563,61,3,346,0.3,
564,61,3,347,0.3,
565,61,3,348,0.3,
566,61,3,349,0.5,
567,62,2,361,0.3,
568,62,2,362,0.2,
569,62,2,363,0.0,
570,62,2,364,0.1,
571,62,2,365,0.1,
572,62,2,366,0.1,
573,62,2,367,0.2,
574,62,2,368,0.3,
575,62,2,369,0.2,
576,62,2,370,0.2,
577,63,3,361,0.3,
578,63,3,362,0.3,
579,63,3,363,0.0,
580,63,3,364,0.0,
581,63,3,365,0.2,
582,63,3,366,0.1,
583,63,3,367,0.1,
584,63,3,368,0.3,
585,63,3,369,0.2,
586,63,3,370,0.1,
587,64,2,,0.2,
588,64,2,,0.3,
589,64,2,,0.3,
590,64,2,,0.3,
591,64,2,,0.3,
592,64,2,,0.4,
593,64,2,,0.3,
594,64,2,,0.3,
595,64,2,,0.3,
596,65,3,,0.2,
597,65,3,,0.2,
598,65,3,,0.2,
599,65,3,,0.2,
600,65,3,,0.2,
601,65,3,,0.3,
602,65,3,,0.4,
603,65,3,,0.3,
604,65,3,,0.3,
605,66,2,,0.2,
606,66,2,,0.2,
607,66,2,,0.1,
608,66,2,,0.1,
609,66,2,,0.3,
610,66,2,,0.2,
611,66,2,,0.2,
612,66,2,,0.2,
613,66,2,,0.3,
614,66,2,,0.3,
615,67,3,,0.2,
616,67,3,,0.3,
617,67,3,,0.1,
618,67,3,,0.1,
619,67,3,,0.3,
620,67,3,,0.2,
621,67,3,,0.0,
622,67,3,,0.3,
623,67,3,,0.3,
624,67,3,,0.3,
625,68,3,,0.2,
626,68,3,,0.2,
627,68,3,,0.2,
628,68,3,,0.1,
629,68,3,,0.3,
630,68,3,,0.3,
631,68,3,,0.3,
632,68,3,,0.2,
633,68,3,,0.2,
634,68,3,,0.4,
635,69,2,,0.3,
636,69,2,,0.2,
637,69,2,,0.2,
638,69,2,,0.3,
639,69,2,,0.3,
640,69,2,,0.2,
641,69,2,,0.2,
642,69,2,,0.3,
643,69,2,,0.3,
644,69,2,,0.3,
645,70,3,,0.2,
646,70,3,,0.3,
647,70,3,,0.2,
648,70,3,,0.1,
649,70,3,,0.1,
650,70,3,,0.1,
651,70,3,,0.2,
652,70,3,,0.3,
653,70,3,,0.3,
654,70,3,,0.5,
655,71,2,425,0.2,
656,71,2,426,0.3,
657,71,2,427,0.3,
658,71,2,428,0.2,
659,71,2,429,0.3,
660,71,2,430,0.2,
661,71,2,431,0.4,
662,71,2,432,0.3,
663,72,3,425,0.4,
664,72,3,426,0.4,
665,72,3,427,0.3,
666,72,3,428,0.3,
667,72,3,429,0.3,
668,72,3,430,0.3,
669,72,3,431,0.5,
670,72,3,432,0.4,
671,73,2,444,0.2,
672,73,2,445,0.1,
673,73,2,446,0.1,
674,73,2,447,0.2,
675,73,2,448,0.1,
676,73,2,449,0.1,
677,73,2,450,0.1,
678,73,2,451,0.2,
679,73,2,452,0.2,
680,73,2,453,0.2,
681,74,2,444,0.2,
682,74,2,445,0.1,
683,74,2,446,0.2,
684,74,2,447,0.3,
685,74,2,448,0.2,
686,74,2,449,0.1,
687,74,2,450,0.2,
688,74,2,451,0.2,
689,74,2,452,0.2,
690,74,2,453,0.2,
691,75,3,444,0.3,
692,75,3,445,0.2,
693,75,3,446,0.1,
694,75,3,447,0.2,
695,75,3,448,0.1,
696,75,3,449,0.1,
697,75,3,450,0.1,
698,75,3,451,0.3,
699,75,3,452,0.2,
700,75,3,453,0.2,
701,76,2,,0.3,
702,76,2,,0.3,
703,76,2,,0.3,
704,76,2,,0.3,
705,76,2,,0.2,
706,76,2,,0.2,
707,76,2,,0.2,
708,76,2,,0.2,
709,76,2,,0.2,
710,76,2,,0.3,
711,77,3,,0.3,
712,77,3,,0.3,
713,77,3,,0.3,
714,77,3,,0.3,
715,77,3,,0.2,
716,77,3,,0.3,
717,77,3,,0.3,
718,77,3,,0.4,
719,77,3,,0.2,
720,77,3,,0.4,
721,78,3,,0.3,
722,78,3,,0.3,
723,78,3,,0.3,
724,78,3,,0.3,
725,78,3,,0.2,
726,78,3,,0.3,
727,78,3,,0.3,
728,78,3,,0.4,
729,78,3,,0.2,
730,78,3,,0.4,
731,79,2,470,0.3,
732,79,2,471,0.4,
733,79,2,472,0.3,
734,79,2,473,0.3,
735,79,2,474,0.2,
736,79,2,475,0.3,
737,79,2,476,0.3,
738,79,2,477,0.5,
739,79,2,478,0.4,
748,80,2,490,0.2,
749,80,2,491,0.3,
750,80,2,492,0.1,
751,80,2,493,0.2,
752,80,2,494,0.1,
753,80,2,495,0.1,
754,80,2,496,0.3,
755,80,2,497,0.2,
756,80,2,498,0.1,
757,80,2,499,0.0,
758,81,3,490,0.3,
759,81,3,491,0.2,
760,81,3,492,0.1,
761,81,3,493,0.1,
762,81,3,494,0.1,
763,81,3,495,0.0,
764,81,3,496,0.2,
765,81,3,497,0.4,
766,81,3,498,0.1,
767,81,3,499,0.0,
768,82,2,,0.3,
769,82,2,,0.3,
770,82,2,,0.3,
771,82,2,,0.4,
772,82,2,,0.2,
773,82,2,,0.2,
774,82,2,,0.2,
775,82,2,,0.3,
776,82,2,,0.3,
777,82,2,,0.3,
778,83,3,,0.4,
779,83,3,,0.4,
780,83,3,,0.2,
781,83,3,,0.3,
782,83,3,,0.3,
783,83,3,,0.3,
784,83,3,,0.2,
785,83,3,,0.3,
786,83,3,,0.4,
787,83,3,,0.4,
788,84,2,,0.3,
789,84,2,,0.2,
790,84,2,,0.2,
791,84,2,,0.2,
792,84,2,,0.2,
793,84,2,,0.1,
794,84,2,,0.3,
795,84,2,,0.2,
796,84,2,,0.3,
797,84,2,,0.5,
798,85,3,,0.4,
799,85,3,,0.3,
800,85,3,,0.2,
801,85,3,,0.2,
802,85,3,,0.1,
803,85,3,,0.1,
804,85,3,,0.2,
805,85,3,,0.2,
806,85,3,,0.5,
807,85,3,,0.5,
808,86,2,,0.3,
809,86,2,,0.2,
810,86,2,,0.2,
811,86,2,,0.2,
812,86,2,,0.2,
813,86,2,,0.1,
814,86,2,,0.2,
815,86,2,,0.3,
816,86,2,,0.3,
817,86,2,,0.3,
818,87,3,,0.2,
819,87,3,,0.3,
820,87,3,,0.1,
821,87,3,,0.1,
822,87,3,,0.2,
823,87,3,,0.1,
824,87,3,,0.2,
825,87,3,,0.4,
826,87,3,,0.5,
827,87,3,,0.5,
828,88,2,555,0.4,
829,88,2,556,0.3,
830,88,2,557,0.2,
831,88,2,558,0.2,
832,88,2,559,0.3,
833,88,2,560,0.3,
834,88,2,561,0.2,
835,88,2,562,0.3,
836,88,2,563,0.2,
837,88,2,564,0.3,
838,89,3,555,0.3,
839,89,3,556,0.2,
840,89,3,557,0.4,
841,89,3,558,0.1,
842,89,3,559,0.2,
843,89,3,560,0.3,
844,89,3,561,0.1,
845,89,3,562,0.2,
846,89,3,563,0.1,
847,89,3,564,0.3,
848,90,2,565,0.3,
849,90,2,566,0.2,
850,90,2,567,0.2,
851,90,2,568,0.2,
852,90,2,569,0.3,
853,90,2,570,0.3,
854,90,2,571,0.0,
855,91,3,565,0.5,
856,91,3,566,0.2,
857,91,3,567,0.2,
858,91,3,568,0.2,
859,91,3,569,0.3,
860,91,3,570,0.4,
861,91,3,571,0.5,
862,92,2,,0.2,
863,92,2,,0.0,
864,92,2,,0.2,
865,92,2,,0.1,
866,92,2,,0.1,
867,92,2,,0.0,
868,92,2,,0.1,
869,92,2,,0.1,
870,92,2,,0.0,
871,92,2,,0.2,
872,93,2,,0.2,
873,93,2,,0.0,
874,93,2,,0.2,
875,93,2,,0.1,
876,93,2,,0.1,
877,93,2,,0.0,
878,93,2,,0.1,
879,93,2,,0.1,
880,93,2,,0.0,
881,93,2,,0.1,
882,94,3,,0.1,
883,94,3,,0.0,
884,94,3,,0.3,
885,94,3,,0.0,
886,94,3,,0.1,
887,94,3,,0.0,
888,94,3,,0.0,
889,94,3,,0.1,
890,94,3,,0.1,
891,94,3,,0.2,
892,95,2,593,0.2,
893,95,2,594,0.1,
894,95,2,595,0.3,
895,95,2,596,0.2,
896,95,2,597,0.1,
897,95,2,598,0.1,
898,95,2,599,0.2,
899,95,2,600,0.2,
900,95,2,601,0.2,
901,95,2,602,0.2,
902,96,3,593,0.2,
903,96,3,594,0.3,
904,96,3,595,0.4,
905,96,3,596,0.1,
906,96,3,597,0.1,
907,96,3,598,0.2,
908,96,3,599,0.3,
909,96,3,600,0.2,
910,96,3,601,0.2,
911,96,3,602,0.1,
912,97,2,,0.2,
913,97,2,,0.2,
914,97,2,,0.3,
